"","uniqueLoc","lon","lat","type","loctype","address","north","south","east","west","locality","administrative_area_level_1","country","street_number","route"
"14","Bullock, Alabama",-87.252085,33.923355,"street_address","rooftop","Bullock, Alabama",33.924355,33.922355,-87.251085,-87.253085,"Jasper","AL","United States","93","Black Ln"
"15","Butler, Alabama",-88.273598,32.115939,"locality","rooftop","Butler, Alabama",32.116939,32.114939,-88.272598,-88.274598,"Butler","AL","United States",NA,NA
"16","Calhoun, Alabama",-86.544974,32.050147,"locality","rooftop","Calhoun, Alabama",32.051147,32.049147,-86.543974,-86.545974,"Letohatchee","AL","United States",NA,NA
"17","Chambers, Alabama",-85.39204,32.91437,"null","approximate","Chambers, Alabama",33.1031188965,32.719619751,-85.1359634399,-85.5816040039,NA,NA,"USA",NA,NA
"18","Chilton, Alabama",-87.84417,31.7821,"locality","rooftop","Chilton, Alabama",31.7831,31.7811,-87.84317,-87.84517,"Grove Hill","AL","United States",NA,NA
"19","Choctaw, Alabama",-88.2632,32.01961,"null","approximate","Choctaw, Alabama",32.1695861816,31.7309188843,-88.1021270752,-88.3887863159,NA,NA,"USA",NA,NA
"20","Clarke, Alabama",-87.57668,33.91455,"locality","approximate","Clarke, Alabama",NA,NA,NA,NA,"Clarke, AL, US",NA,"USA",NA,NA
"21","Cleburne, Alabama",-86.096179,34.029153,"street_address","rooftop","Cleburne, Alabama",34.030153,34.028153,-86.095179,-86.097179,"Attalla","AL","United States","2","Cleburne St"
"22","Coffee, Alabama",-85.98821,31.40263,"null","approximate","Coffee, Alabama",31.6215190887,31.2174167633,-85.786529541,-86.1739044189,NA,NA,"USA",NA,NA
"23","Colbert, Alabama",-87.80498,34.70043,"null","approximate","Colbert, Alabama",34.8938179016,34.5761947632,-87.4185638428,-88.1322402954,NA,NA,"USA",NA,NA
"24","Conecuh, Alabama",-86.200498,34.158079,"street_address","rooftop","Conecuh, Alabama",34.159079,34.157079,-86.199498,-86.201498,"Boaz","AL","United States","2","King Ln"
"25","Coosa, Alabama",-86.831436,32.122673,"street_address","rooftop","Coosa, Alabama",32.123673,32.121673,-86.830436,-86.832436,"Sardis","AL","United States","111","Casey Rd"
"26","Covington, Alabama",-86.45125,31.24849,"null","approximate","Covington, Alabama",31.5117702484,30.979927063,-86.2007904053,-86.6885223389,NA,NA,"USA",NA,NA
"27","Crenshaw, Alabama",-86.31355,31.73149,"null","approximate","Crenshaw, Alabama",31.9525356293,31.4829711914,-86.1556396484,-86.4209060669,NA,NA,"USA",NA,NA
"28","Cullman, Alabama",-86.853185,34.111067,"locality","rooftop","Cullman, Alabama",34.112067,34.110067,-86.852185,-86.854185,"Cullman","AL","United States",NA,NA
"29","Dale, Alabama",-85.61103,31.43182,"null","approximate","Dale, Alabama",31.603931427,31.2283802032,-85.4514465332,-85.7968673706,NA,NA,"USA",NA,NA
"30","Dallas, Alabama",-86.660547,33.849544,"locality","rooftop","Dallas, Alabama",33.850544,33.848544,-86.659547,-86.661547,"Trafford","AL","United States",NA,NA
"31","De Kalb, Alabama",-86.75026,32.75041,"administrative_area_level_1","approximate","De Kalb, Alabama",35.03358078,29.901971817,-84.9167633057,-88.4648742676,NA,"Alabama, US","USA",NA,NA
"32","Elmore, Alabama",-86.31497,32.53874,"locality","rooftop","Elmore, Alabama",32.53974,32.53774,-86.31397,-86.31597,"Elmore","AL","United States",NA,NA
"33","Escambia, Alabama",-87.16162,31.12612,"null","approximate","Escambia, Alabama",31.2576332092,30.9757823944,-87,-87.5734405518,NA,NA,"USA",NA,NA
"34","Etowah, Alabama",-86.03476,34.04525,"null","approximate","Etowah, Alabama",34.2195739746,33.8515014648,-85.8168334961,-86.3594055176,NA,NA,"USA",NA,NA
"35","Fayette, Alabama",-87.809908,33.72005,"locality","rooftop","Fayette, Alabama",33.72105,33.71905,-87.808908,-87.810908,"Fayette","AL","United States",NA,NA
"36","Franklin, Alabama",-87.446699,31.661913,"locality","rooftop","Franklin, Alabama",31.662913,31.660913,-87.445699,-87.447699,"Franklin","AL","United States",NA,NA
"37","Geneva, Alabama",-85.86382,31.03296,"locality","rooftop","Geneva, Alabama",31.03396,31.03196,-85.86282,-85.86482,"Geneva","AL","United States",NA,NA
"38","Greene, Alabama",-87.182858,33.756571,"street_address","rooftop","Greene, Alabama",33.757571,33.755571,-87.181858,-87.183858,"Cordova","AL","United States","2","Green Ave"
"39","Houston, Alabama",-87.2786,34.188775,"locality","rooftop","Houston, Alabama",34.189775,34.187775,-87.2776,-87.2796,"Houston","AL","United States",NA,NA
"40","Jackson, Alabama",-85.9993,34.77941,"null","approximate","Jackson, Alabama",35.03358078,34.4716682434,-85.5654678345,-86.3300476074,NA,NA,"USA",NA,NA
"41","Lamar, Alabama",-85.39523,33.39678,"locality","approximate","Lamar, Alabama",NA,NA,NA,NA,"Lamar, AL, US",NA,"USA",NA,NA
"42","Lauderdale, Alabama",-87.905341,34.882214,"street_address","rooftop","Lauderdale, Alabama",34.883214,34.881214,-87.904341,-87.906341,"Russellville","AL","United States","2","Lauderdale County 2"
"43","Lawrence, Alabama",-85.531072,34.232316,"locality","rooftop","Lawrence, Alabama",34.233316,34.231316,-85.530072,-85.532072,"Cedar Bluff","AL","United States",NA,NA
"44","Lee, Alabama",-85.35556,32.60114,"null","approximate","Lee, Alabama",32.7554283142,32.4464645386,-85.0342102051,-85.6853561401,NA,NA,"USA",NA,NA
"45","Limestone, Alabama",-86.98137,34.81008,"null","approximate","Limestone, Alabama",35.0112991333,34.5587120056,-86.7607040405,-87.2223892212,NA,NA,"USA",NA,NA
"46","Lowndes, Alabama",-86.65011,32.15475,"null","approximate","Lowndes, Alabama",32.3666229248,31.9719982147,-86.4347229004,-86.8083343506,NA,NA,"USA",NA,NA
"47","Macon, Alabama",-86.077194,33.730656,"locality","rooftop","Macon, Alabama",33.731656,33.729656,-86.076194,-86.078194,"Ohatchee","AL","United States",NA,NA
"48","Madison, Alabama",-86.818118,34.643795,"locality","rooftop","Madison, Alabama",34.644795,34.642795,-86.817118,-86.819118,"Madison","AL","United States",NA,NA
"49","Marengo, Alabama",-87.81418,32.05709,"locality","approximate","Marengo, Alabama",NA,NA,NA,NA,"Marengo, AL, US",NA,"USA",NA,NA
"50","Marion, Alabama",-87.350401,32.608995,"locality","rooftop","Marion, Alabama",32.609995,32.607995,-87.349401,-87.351401,"Marion","AL","United States",NA,NA
"51","Marshall, Alabama",-87.704489,34.512719,"street_address","rooftop","Marshall, Alabama",34.513719,34.511719,-87.703489,-87.705489,"Russellville","AL","United States","2","Marshall Dr"
"52","Morgan, Alabama",-87.088306,33.467902,"locality","rooftop","Morgan, Alabama",33.468902,33.466902,-87.087306,-87.089306,"Bessemer","AL","United States",NA,NA
"53","Perry, Alabama",-87.2944,32.63847,"null","approximate","Perry, Alabama",32.7182121277,32.5380325317,-87.179145813,-87.339805603,NA,NA,"USA",NA,NA
"54","Pickens, Alabama",-88.08869,33.28088,"null","approximate","Pickens, Alabama",33.4795646667,33.0492973328,-87.8759460449,-88.2877426147,NA,NA,"USA",NA,NA
"55","Pike, Alabama",-85.94092,31.80272,"null","approximate","Pike, Alabama",32.0179748535,31.6530895233,-85.8118896484,-86.0275802612,NA,NA,"USA",NA,NA
"56","Russell, Alabama",-85.974364,34.582355,"street_address","rooftop","Russell, Alabama",34.583355,34.581355,-85.973364,-85.975364,"Section","AL","United States","2","Russell St"
"57","St. Clair, Alabama",-86.465105,33.621029,"street_address","rooftop","St. Clair, Alabama",33.622029,33.620029,-86.464105,-86.466105,"Moody","AL","United States","1001","St Clair Rd"
"58","Shelby, Alabama",-86.550392,33.080188,"locality","rooftop","Shelby, Alabama",33.081188,33.079188,-86.549392,-86.551392,"Shelby","AL","United States",NA,NA
"59","Sumter, Alabama",-87.12777,33.35345,"locality","approximate","Sumter, Alabama",NA,NA,NA,NA,"Sumter, AL, US",NA,"USA",NA,NA
"60","Talladega, Alabama",-86.144681,33.387375,"locality","rooftop","Talladega, Alabama",33.388375,33.386375,-86.143681,-86.145681,"Talladega","AL","United States",NA,NA
"61","Tallapoosa, Alabama",-85.7975,32.8624,"null","approximate","Tallapoosa, Alabama",32.9993515015,32.6008605957,-85.6281280518,-86.0138931274,NA,NA,"USA",NA,NA
"62","Tuscaloosa, Alabama",-87.569174,33.209841,"locality","rooftop","Tuscaloosa, Alabama",33.210841,33.208841,-87.568174,-87.570174,"Burchfield","AL","United States",NA,NA
"63","Walker, Alabama",-87.29736,33.80333,"null","approximate","Walker, Alabama",34.0091285706,33.6387748718,-86.9893035889,-87.6313705444,NA,NA,"USA",NA,NA
"64","Washington, Alabama",-88.20788,31.4076,"null","approximate","Washington, Alabama",31.7048034668,31.1264915466,-87.9264831543,-88.4374923706,NA,NA,"USA",NA,NA
"65","Wilcox, Alabama",-86.87636,31.5085,"locality","approximate","Wilcox, Alabama",NA,NA,NA,NA,"Wilcox, AL, US",NA,"USA",NA,NA
"66","Winston, Alabama",-87.37368,34.14922,"null","approximate","Winston, Alabama",34.3260726929,33.9977416992,-87.1002120972,-87.6406860352,NA,NA,"USA",NA,NA
"67","Arkansas, Arkansas",-91.5578,33.981735,"street_address","rooftop","Arkansas, Arkansas",33.982735,33.980735,-91.5568,-91.5588,"Gould","AR","United States","117","Arkansas St"
"68","Ashley, Arkansas",-91.864755,33.134633,"street_address","rooftop","Ashley, Arkansas",33.135633,33.133633,-91.863755,-91.865755,"Crossett","AR","United States","1301","Ashley"
"69","Benton, Arkansas",-92.585282,34.485476,"locality","rooftop","Benton, Arkansas",34.486476,34.484476,-92.584282,-92.586282,"Benton","AR","United States",NA,NA
"70","Boone, Arkansas",-92.402257,35.288049,"street_address","rooftop","Boone, Arkansas",35.289049,35.287049,-92.401257,-92.403257,"Greenbrier","AR","United States","2","Beene Rd"
"71","Bradley, Arkansas",-93.6549,33.09819,"locality","rooftop","Bradley, Arkansas",33.09919,33.09719,-93.6539,-93.6559,"Bradley","AR","United States",NA,NA
"72","Calhoun, Arkansas",-93.15461,33.219574,"locality","rooftop","Calhoun, Arkansas",33.220574,33.218574,-93.15361,-93.15561,"Magnolia","AR","United States",NA,NA
"73","Chicot, Arkansas",-91.278079,33.101218,"locality","rooftop","Chicot, Arkansas",33.102218,33.100218,-91.277079,-91.279079,"Eudora","AR","United States",NA,NA
"74","Clark, Arkansas",-92.113222,34.265271,"street_address","rooftop","Clark, Arkansas",34.266271,34.264271,-92.112222,-92.114222,"White Hall","AR","United States","101","Clark Rd"
"75","Clay, Arkansas",-91.786252,35.396749,"locality","rooftop","Clay, Arkansas",35.397749,35.395749,-91.785252,-91.787252,"Searcy","AR","United States",NA,NA
"76","Columbia, Arkansas",-91.27948,33.337189,"street_address","rooftop","Columbia, Arkansas",33.338189,33.336189,-91.27848,-91.28048,"Lake Village","AR","United States","101","Columbia St"
"77","Conway, Arkansas",-92.459422,35.081581,"locality","rooftop","Conway, Arkansas",35.082581,35.080581,-92.458422,-92.460422,"Mayflower","AR","United States",NA,NA
"78","Craighead, Arkansas",-91.207356,33.608922,"locality","rooftop","Craighead, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"79","Crawford, Arkansas",-92.378159,33.908799,"street_address","rooftop","Crawford, Arkansas",33.909799,33.907799,-92.377159,-92.379159,"Kingsland","AR","United States","2","Crawford Rd"
"80","Crittenden, Arkansas",-91.207356,33.608922,"locality","rooftop","Crittenden, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"81","Drew, Arkansas",-91.845154,33.938113,"street_address","rooftop","Drew, Arkansas",33.939113,33.937113,-91.844154,-91.846154,"Star City","AR","United States","401","Drew St"
"82","Faulkner, Arkansas",-90.346687,35.758773,"street_address","rooftop","Faulkner, Arkansas",35.759773,35.757773,-90.345687,-90.347687,"Caraway","AR","United States","501","Faulkner Ave"
"83","Franklin, Arkansas",-91.77598,36.17035,"locality","rooftop","Franklin, Arkansas",36.17135,36.16935,-91.77498,-91.77698,"Franklin","AR","United States",NA,NA
"84","Fulton, Arkansas",-93.79752,33.669917,"locality","rooftop","Fulton, Arkansas",33.670917,33.668917,-93.79652,-93.79852,"Fulton","AR","United States",NA,NA
"85","Garland, Arkansas",-93.709901,33.362903,"locality","rooftop","Garland, Arkansas",33.363903,33.361903,-93.708901,-93.710901,"Garland","AR","United States",NA,NA
"86","Grant, Arkansas",-91.306749,33.820579,"street_address","rooftop","Grant, Arkansas",33.821579,33.819579,-91.305749,-91.307749,"Watson","AR","United States","201","Grant Ln"
"87","Greene, Arkansas",-92.173384,34.413083,"street_address","rooftop","Greene, Arkansas",34.414083,34.412083,-92.172384,-92.174384,"Redfield","AR","United States","101","Kearney Rd"
"88","Hempstead, Arkansas",-91.207356,33.608922,"locality","rooftop","Hempstead, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"89","Hot Spring, Arkansas",-92.412165,35.199922,"street_address","rooftop","Hot Spring, Arkansas",35.200922,35.198922,-92.411165,-92.413165,"Greenbrier","AR","United States","2","N Springhill Ln"
"90","Jackson, Arkansas",-91.566547,33.980786,"street_address","rooftop","Jackson, Arkansas",33.981786,33.979786,-91.565547,-91.567547,"Gould","AR","United States","500","Jackson"
"91","Jefferson, Arkansas",-91.207356,33.608922,"locality","rooftop","Jefferson, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"92","Lafayette, Arkansas",-91.207356,33.608922,"locality","rooftop","Lafayette, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"93","Lincoln, Arkansas",-94.42355,35.94953,"locality","rooftop","Lincoln, Arkansas",35.95053,35.94853,-94.42255,-94.42455,"Lincoln","AR","United States",NA,NA
"94","Little River, Arkansas",-91.207356,33.608922,"locality","rooftop","Little River, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"95","Lonoke, Arkansas",-91.905399,34.81247,"locality","rooftop","Lonoke, Arkansas",34.81347,34.81147,-91.904399,-91.906399,"Lonoke","AR","United States",NA,NA
"96","Marion, Arkansas",-90.19648,35.21453,"locality","rooftop","Marion, Arkansas",35.21553,35.21353,-90.19548,-90.19748,"Marion","AR","United States",NA,NA
"97","Miller, Arkansas",-91.841539,33.65113,"street_address","rooftop","Miller, Arkansas",33.65213,33.65013,-91.840539,-91.842539,"Monticello","AR","United States","101","Miller Ln"
"98","Mississippi, Arkansas",-91.395619,33.634209,"street_address","rooftop","Mississippi, Arkansas",33.635209,33.633209,-91.394619,-91.396619,"McGehee","AR","United States","601","Mississippi St"
"99","Montgomery, Arkansas",-91.390588,33.264668,"street_address","rooftop","Montgomery, Arkansas",33.265668,33.263668,-91.389588,-91.391588,NA,NA,"United States","474","Montgomery Rd"
"100","Newton, Arkansas",-94.22286,35.419433,"street_address","rooftop","Newton, Arkansas",35.420433,35.418433,-94.22186,-94.22386,"Alma","AR","United States","501","New Town Rd"
"101","Ouachita, Arkansas",-92.829331,33.852327,"locality","rooftop","Ouachita, Arkansas",33.853327,33.851327,-92.828331,-92.830331,"Sparkman","AR","United States",NA,NA
"102","Phillips, Arkansas",-92.073914,34.250654,"street_address","rooftop","Phillips, Arkansas",34.251654,34.249654,-92.072914,-92.074914,"White Hall","AR","United States","2408","Phillips"
"103","Pike, Arkansas",-91.207356,33.608922,"locality","rooftop","Pike, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"104","Poinsett, Arkansas",-91.114412,34.582882,"street_address","rooftop","Poinsett, Arkansas",34.583882,34.581882,-91.113412,-91.115412,"Holly Grove","AR","United States","4300","Pinecity Rd"
"105","Polk, Arkansas",-91.796731,33.225177,"street_address","rooftop","Polk, Arkansas",33.226177,33.224177,-91.795731,-91.797731,"Hamburg","AR","United States","101","E Polk St"
"106","Prairie, Arkansas",-92.250339,33.876767,"street_address","rooftop","Prairie, Arkansas",33.877767,33.875767,-92.249339,-92.251339,"Kingsland","AR","United States","134","Prairie Rd"
"107","Pulaski, Arkansas",-91.207356,33.608922,"locality","rooftop","Pulaski, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"108","St. Francis, Arkansas",-92.588698,36.27579,"street_address","rooftop","St. Francis, Arkansas",36.27679,36.27479,-92.587698,-92.589698,"Flippin","AR","United States","301","S St Ct"
"109","Saline, Arkansas",-92.267092,33.873437,"locality","rooftop","Saline, Arkansas",33.874437,33.872437,-92.266092,-92.268092,"Kingsland","AR","United States",NA,NA
"110","Sebastian, Arkansas",-91.207356,33.608922,"locality","rooftop","Sebastian, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"111","Sevier, Arkansas",-91.207356,33.608922,"locality","rooftop","Sevier, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"112","Union, Arkansas",-92.334864,33.075963,"locality","rooftop","Union, Arkansas",33.076963,33.074963,-92.333864,-92.335864,"Strong","AR","United States",NA,NA
"113","Van Buren, Arkansas",-91.207356,33.608922,"locality","rooftop","Van Buren, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"114","Washington, Arkansas",-91.207356,33.608922,"locality","rooftop","Washington, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"115","Woodruff, Arkansas",-91.207356,33.608922,"locality","rooftop","Woodruff, Arkansas",33.609922,33.607922,-91.206356,-91.208356,"Arkansas City","AR","United States",NA,NA
"116","Yell, Arkansas",-94.075442,35.881555,"street_address","rooftop","Yell, Arkansas",35.882555,35.880555,-94.074442,-94.076442,"Winslow","AR","United States","16094","Wyola Rd"
"117","Cochise, Arizona",-109.835893,32.043893,"locality","rooftop","Cochise, Arizona",32.044893,32.042893,-109.834893,-109.836893,"Cochise","AZ","United States",NA,NA
"118","Coconino, Arizona",-111.7705,35.83873,"null","approximate","Coconino, Arizona",37.0583267212,34.2827339172,-110.702629089,-113.334960938,NA,NA,"USA",NA,NA
"119","Gila, Arizona",-110.81174,33.79975,"null","approximate","Gila, Arizona",34.5143013,32.9484024048,-109.986534119,-111.716194153,NA,NA,"USA",NA,NA
"120","Graham, Arizona",-109.770844,32.819926,"locality","rooftop","Graham, Arizona",32.820926,32.818926,-109.769844,-109.771844,"Thatcher","AZ","United States",NA,NA
"121","Maricopa, Arizona",-112.016264,33.087421,"locality","rooftop","Maricopa, Arizona",33.088421,33.086421,-112.015264,-112.017264,"Maricopa","AZ","United States",NA,NA
"122","Mohave, Arizona",-113.75791,35.70404,"null","approximate","Mohave, Arizona",37.0465431213,34.2349739075,-112.609863281,-114.777175903,NA,NA,"USA",NA,NA
"123","Navajo, Arizona",-109.538166,35.124191,"locality","rooftop","Navajo, Arizona",35.125191,35.123191,-109.537166,-109.539166,"Navajo","AZ","United States",NA,NA
"124","Pima, Arizona",-109.82758,32.89618,"locality","rooftop","Pima, Arizona",32.89718,32.89518,-109.82658,-109.82858,"Pima","AZ","United States",NA,NA
"125","Pinal, Arizona",-111.34471,32.90431,"null","approximate","Pinal, Arizona",33.5270843506,32.4956626892,-110.448883057,-112.276237488,NA,NA,"USA",NA,NA
"126","Santa Cruz, Arizona",-110.020527,34.313307,"locality","rooftop","Santa Cruz, Arizona",34.314307,34.312307,-110.019527,-110.021527,"Show Low","AZ","United States",NA,NA
"127","Yavapai, Arizona",-112.55387,34.59988,"null","approximate","Yavapai, Arizona",35.569934845,33.8669586182,-111.465202332,-113.362426758,NA,NA,"USA",NA,NA
"128","Yuma, Arizona",-114.657232,32.701461,"locality","rooftop","Yuma, Arizona",32.702461,32.700461,-114.656232,-114.658232,"Yuma","AZ","United States",NA,NA
"129","Alameda, California",-122.264779,37.770563,"locality","rooftop","Alameda, California",37.771563,37.769563,-122.263779,-122.265779,"Alameda","CA","United States",NA,NA
"130","San Francisco, California",-117.885359,35.187133,"locality","rooftop","San Francisco, California",35.188133,35.186133,-117.884359,-117.886359,"California City","CA","United States",NA,NA
"131","Alpine, California",-116.710667,32.810624,"locality","rooftop","Alpine, California",32.811624,32.809624,-116.709667,-116.711667,"Alpine","CA","United States",NA,NA
"132","Butte, California",-117.661284,35.367295,"street_address","rooftop","Butte, California",35.368295,35.366295,-117.660284,-117.662284,"Randsburg","CA","United States","187","Butte Rd"
"133","Colusa, California",-122.00942,39.21433,"locality","rooftop","Colusa, California",39.21533,39.21333,-122.00842,-122.01042,"Colusa","CA","United States",NA,NA
"134","Contra Costa, California",-117.922563,33.976284,"street_address","rooftop","Contra Costa, California",33.977284,33.975284,-117.921563,-117.923563,"Rowland Heights","CA","United States","17701","Contra Costa Dr"
"135","Del Norte, California",-120.102659,40.023418,"street_address","rooftop","Del Norte, California",40.024418,40.022418,-120.101659,-120.103659,"Doyle","CA","United States","300","Doyle Dr"
"136","El Dorado, California",-120.84598,38.676272,"locality","rooftop","El Dorado, California",38.677272,38.675272,-120.84498,-120.84698,"El Dorado","CA","United States",NA,NA
"137","Fresno, California",-119.734947,36.862603,"locality","rooftop","Fresno, California",36.863603,36.861603,-119.733947,-119.735947,"Fresno","CA","United States",NA,NA
"138","Glenn, California",-122.032181,39.596546,"locality","rooftop","Glenn, California",39.597546,39.595546,-122.031181,-122.033181,"Glenn","CA","United States",NA,NA
"139","Humboldt, California",-120.487115,35.014561,"street_address","rooftop","Humboldt, California",35.015561,35.013561,-120.486115,-120.488115,"Nipomo","CA","United States","1201","Humboldt Dr"
"140","Imperial, California",-115.56944,32.84755,"locality","rooftop","Imperial, California",32.84855,32.84655,-115.56844,-115.57044,"Imperial","CA","United States",NA,NA
"141","Inyo, California",-120.118969,36.005154,"street_address","rooftop","Inyo, California",36.006154,36.004154,-120.117969,-120.119969,"Avenal","CA","United States","1101","Inyo St"
"142","Kern, California",-117.56676,33.891546,"street_address","rooftop","Kern, California",33.892546,33.890546,-117.56576,-117.56776,"Corona","CA","United States","301","Kern St"
"143","Kings, California",-118.811772,34.132404,"street_address","rooftop","Kings, California",34.133404,34.131404,-118.810772,-118.812772,"Westlake Village","CA","United States","154","Kings Pl"
"144","Lake, California",-117.956178,35.123677,"street_address","rooftop","Lake, California",35.124677,35.122677,-117.955178,-117.957178,"California City","CA","United States","20700","W Lake Dr"
"145","Lassen, California",-118.52332,34.250391,"street_address","rooftop","Lassen, California",34.251391,34.249391,-118.52232,-118.52432,"Northridge","CA","United States","17901","Lassen St"
"146","Los Angeles, California",-117.885359,35.187133,"locality","rooftop","Los Angeles, California",35.188133,35.186133,-117.884359,-117.886359,"California City","CA","United States",NA,NA
"147","Madera, California",-120.182423,36.928286,"locality","rooftop","Madera, California",36.929286,36.927286,-120.181423,-120.183423,"Madera","CA","United States",NA,NA
"148","Marin, California",-121.806577,36.680918,"street_address","rooftop","Marin, California",36.681918,36.679918,-121.805577,-121.807577,"Marina","CA","United States","3001","Marina Dr"
"149","Mariposa, California",-120.018973,37.572907,"locality","rooftop","Mariposa, California",37.573907,37.571907,-120.017973,-120.019973,"Mariposa","CA","United States",NA,NA
"150","Mendocino, California",-123.734377,39.319949,"locality","rooftop","Mendocino, California",39.320949,39.318949,-123.733377,-123.735377,"Mendocino","CA","United States",NA,NA
"151","Merced, California",-120.42415,37.345785,"locality","rooftop","Merced, California",37.346785,37.344785,-120.42315,-120.42515,"Merced","CA","United States",NA,NA
"152","Modoc, California",-120.740983,35.321131,"street_address","rooftop","Modoc, California",35.322131,35.320131,-120.739983,-120.741983,"San Luis Obispo","CA","United States","1541","Modoc Ave"
"153","Mono, California",-120.142607,36.00822,"street_address","rooftop","Mono, California",36.00922,36.00722,-120.141607,-120.143607,"Avenal","CA","United States","301","Mono St"
"154","Monterey, California",-121.840727,36.57485,"locality","rooftop","Monterey, California",36.57585,36.57385,-121.839727,-121.841727,"Monterey","CA","United States",NA,NA
"155","Napa, California",-122.23832,38.442011,"locality","rooftop","Napa, California",38.443011,38.441011,-122.23732,-122.23932,"Napa","CA","United States",NA,NA
"156","Nevada, California",-122.601875,38.113518,"street_address","rooftop","Nevada, California",38.114518,38.112518,-122.600875,-122.602875,"Novato","CA","United States","293","Novato Blvd"
"157","Orange, California",-117.853112,33.787795,"locality","rooftop","Orange, California",33.788795,33.786795,-117.852112,-117.854112,"Modjeska","CA","United States",NA,NA
"158","Placer, California",-118.743711,37.560857,"street_address","rooftop","Placer, California",37.561857,37.559857,-118.742711,-118.744711,"Mammoth Lakes","CA","United States","200","Placer Rd"
"159","Plumas, California",-118.403594,34.029064,"street_address","rooftop","Plumas, California",34.030064,34.028064,-118.402594,-118.404594,"Los Angeles","CA","United States","10001","Palms Blvd"
"160","Riverside, California",-117.396156,33.953349,"locality","rooftop","Riverside, California",33.954349,33.952349,-117.395156,-117.397156,"Capistrano Beach","CA","United States",NA,NA
"161","Sacramento, California",-121.555406,38.380456,"locality","rooftop","Sacramento, California",38.381456,38.379456,-121.554406,-121.556406,"Sacramento","CA","United States",NA,NA
"162","San Benito, California",-121.08186,36.509685,"locality","rooftop","San Benito, California",36.510685,36.508685,-121.08086,-121.08286,"Paicines","CA","United States",NA,NA
"163","San Bernardino, California",-117.885359,35.187133,"locality","rooftop","San Bernardino, California",35.188133,35.186133,-117.884359,-117.886359,"California City","CA","United States",NA,NA
